('e', ' ', ' ', ' ') 9406
('e', ' ', 'o', 'f') 260
('o', 'r', 'n', 'e') 260
('n', 'e', ' ', 'o') 259
(' ', 'f', 'e', 'r') 259
(' ', 's', 'i', 'g') 259
('g', 'a', 'ð', ' ') 259
('s', 't', 'u', 'm') 259
('e', ' ', 'g', 'o') 258
('þ', 'o', 'n', ' ') 258
('l', 'e', ' ', 'g') 258
('r', 'o', 'd', 'e') 258
(' ', ' ', 'h', 'r') 257
('m', 'e', 'n', ' ') 257
('n', 'n', 'a', 'n') 257
('l', 'i', 'f', 'e') 257
(' ', 'b', 'l', 'i') 257
('p', 's', 'a', 'l') 257
('w', 'i', 'd', 'e') 256
(' ', 's', 't', 'o') 256
(' ', 's', 't', 'e') 256
(' ', 'p', 's', 'a') 256
('f', 'æ', 'd', 'e') 255
('h', 'a', 'l', 'g') 255
('d', ' ', 'w', 'e') 255
('æ', 'r', ' ', ' ') 254
('n', 'n', 'e', 's') 254
('g', 'e', 'f', 'e') 254
(' ', 's', 'c', 'y') 253
('o', 'r', 'g', 'e') 253
('a', ' ', 'w', 'e') 253
('g', 'e', 'o', 'r') 252
('s', ' ', 'm', 'i') 252
(' ', 'f', 'u', 'l') 252
('æ', 'r', 'o', 'n') 251
('f', 'n', 'e', ' ') 251
('n', ' ', 'f', 'o') 251
('t', 'e', ' ', 'g') 251
(' ', 'd', 'r', 'e') 251
('e', ' ', 'þ', 'i') 251
(' ', 'm', 'i', 'l') 251
('g', 'e', 'f', 'r') 250
('e', 'd', 'o', 'n') 250
('e', 'a', 'f', 't') 250
(' ', ' ', 'b', 'l') 250
('i', 'l', 'd', 'e') 250
('a', 'l', 'd', ' ') 250
('i', 's', ' ', 'm') 250
('e', ' ', 'm', 'a') 250
('n', 'e', ' ', 'd') 250
('a', ' ', 'w', 'æ') 249
('y', 'r', 'd', 'e') 249
('n', 'd', 'a', 'n') 249
('f', 'r', 'e', 'o') 249
(' ', 'g', 'e', 't') 249
(' ', 's', 't', 'a') 249
('o', 'r', 'ð', ' ') 248
('o', 's', 't', ' ') 248
('h', 'e', 'o', ' ') 248
('r', 'h', 't', 'e') 247
(' ', 'm', 'e', 'n') 246
(' ', 'w', 'e', 's') 246
('e', 'l', 'e', ' ') 245
('e', 't', 't', 'e') 245
('l', 'e', 'o', 'h') 245
('s', ' ', 'þ', 'e') 245
('d', 'i', 'g', ' ') 245
('e', 's', ' ', 's') 245
('g', 'n', 'e', ' ') 245
('e', 'n', 'n', 'e') 244
(' ', ' ', ' ', 'u') 244
(' ', ' ', 'w', 'y') 244
(' ', 'f', 'æ', 'd') 243
(' ', 'e', 'a', 'd') 243
(' ', 's', 'a', 'w') 243
('e', 'c', 'a', 'n') 243
('o', 'n', 'a', ' ') 242
(' ', 'ð', 'o', 'n') 242
('f', 'o', 'r', 'þ') 242
('l', 'r', 'a', ' ') 242
('d', 'e', ' ', 's') 241
('æ', 's', ' ', 'þ') 241
('r', 'æ', 'f', 't') 241
('m', ' ', ' ', 'w') 241
('l', 'i', 'g', ' ') 241
('t', ' ', 'þ', 'u') 241
('d', ' ', 'þ', 'a') 240
('w', 'e', ' ', ' ') 240
('o', 'r', 'þ', 'a') 240
('a', ' ', 'o', 'n') 240
('n', 'a', ' ', 'g') 239
(' ', 'h', 'i', 'o') 239
('u', 's', ' ', ' ') 238
(' ', 'l', 'e', 'a') 237
('e', ' ', 'f', 'e') 237
('i', 's', ' ', 's') 236
(' ', 'æ', 'n', 'i') 236
('d', ' ', 'e', 'a') 235
('o', 'r', 'd', 'e') 235
('a', 'n', ' ', 'n') 235
('æ', 's', ' ', 'h') 234
(' ', 'h', 'a', 't') 234
('r', 'a', 's', ' ') 234
('e', ' ', ' ', 'd') 234
('e', 'o', 'w', ' ') 234
('e', 'r', 'a', ' ') 233
('r', ' ', 'o', 'n') 233
('s', ' ', 's', 'e') 233
('e', ' ', ' ', 'æ') 233
('n', 'a', 'ð', ' ') 233
('y', 'r', 'e', ' ') 233
('m', ' ', 't', 'o') 233
('e', 'o', 'r', 'l') 232
('m', 'e', 's', ' ') 232
('f', 'o', 'l', 'd') 232
('w', 'i', 'h', 't') 232
('ð', 'u', 'm', ' ') 232
('n', ' ', 'þ', 'æ') 232
('þ', 'a', ' ', 's') 232
('e', 'r', ' ', 'h') 231
('n', ' ', 'b', 'e') 231
('c', ' ', 'h', 'i') 231
(' ', 'h', 'r', 'e') 231
('e', ' ', 'w', 'o') 231
('o', 'n', ' ', 'l') 231
('n', 'g', 'e', 'a') 230
('h', 'e', ' ', 'þ') 229
(' ', 's', 'y', 'm') 229
('t', 'o', ' ', 'h') 229
('n', ' ', 'e', 'a') 229
('n', 'g', 'l', 'a') 229
('i', 'm', ' ', 'þ') 228
('a', 'ð', 'e', ' ') 228
('d', 'a', 's', ' ') 228
('n', 'n', 'u', 'm') 228
('ð', ' ', 'o', 'n') 227
(' ', 'w', 'a', 'l') 227
('n', 'd', 'a', ' ') 227
('d', ' ', 'w', 'i') 226
('m', ' ', ' ', 'o') 226
('o', 'n', ' ', 'b') 226
('w', 'l', 'i', 't') 226
('a', 'n', ' ', 'b') 226
('e', 'a', 'r', 'm') 225
('n', ' ', 'n', 'e') 225
('æ', 'f', 'd', 'e') 225
('e', 'a', 'r', 't') 225
('i', 'l', 'l', 'a') 225
('r', 'i', 's', 't') 225
('n', 'd', 'e', 'n') 224
('s', ' ', 'w', 'e') 224
('w', 'æ', 'r', 'e') 224
('s', ' ', 'h', 'e') 224
('r', ' ', 'g', 'e') 223
('m', 'o', 'n', ' ') 223
('l', 'c', ' ', ' ') 222
('w', 'a', 't', ' ') 222
(' ', 'f', 'e', 'l') 222
('f', 'e', 'l', 'a') 222
('g', 'a', 's', 't') 222
('u', 'm', ' ', 'h') 222
('n', ' ', 'þ', 'i') 222
('u', 'm', ' ', 'm') 221
('e', ' ', 'f', 'r') 221
('d', 'r', 'e', 'a') 221
('þ', 'æ', 'r', 'e') 221
(' ', ' ', 'h', 'o') 221
(' ', 'h', 'a', 'n') 221
('a', 'l', 'd', 'o') 220
('l', 'e', 'a', 's') 220
(' ', 's', 'p', 'r') 220
('þ', 'a', ' ', 'g') 220
('y', 'n', 'e', ' ') 220
('n', 'g', 'e', 's') 220
(' ', 'w', 'e', 'n') 220
('m', 'o', 'n', 'n') 220
('r', 'a', ' ', 'w') 219
('d', 'r', 'e', 's') 219
('n', 'd', 'r', 'a') 218
(' ', ' ', 'e', 'f') 218
('a', 'h', 't', 'e') 218
('i', 'd', 'd', 'a') 218
('e', 'h', 'w', 'y') 218
('i', 'ð', ' ', ' ') 218
('w', 'æ', 'r', 'o') 218
('a', 'c', ' ', ' ') 217
('d', ' ', 's', 'e') 216
('t', 'r', 'e', 'o') 216
(' ', 'w', 'æ', 't') 216
(' ', ' ', 'g', 'r') 216
('þ', 'e', 'a', 'r') 216
('n', ' ', 'a', 'n') 216
('a', ' ', 'c', 'y') 216
(' ', 'm', 'e', 'c') 216
('g', 'l', 'a', ' ') 216
(' ', 'w', 'i', 'g') 215
('u', 'm', ' ', 't') 215
('ð', ' ', 'g', 'e') 215
(' ', 'æ', 'f', 'r') 215
('t', 'a', 's', ' ') 215
('i', 's', 's', 'e') 215
('a', 'n', ' ', 'd') 215
('c', ' ', 'g', 'e') 214
('s', 'e', ' ', 'þ') 214
(' ', ' ', 'f', 'y') 213
('f', 'r', 'u', 'm') 213
('t', ' ', 's', 'e') 213
('d', 'e', ' ', 'h') 213
('g', 'æ', 's', 't') 213
('w', 'æ', 'ð', ' ') 213
('r', 'þ', 'a', 'n') 213
('i', 'h', 't', 'n') 213
('n', ' ', 'm', 'e') 213
('e', 'r', ' ', 'w') 212
('h', 'e', 'a', 'h') 212
('a', 'c', ' ', 'h') 212
('r', ' ', 'h', 'i') 212
(' ', 'l', 'i', 'c') 212
('æ', 'g', 'h', 'w') 211
('t', ' ', ' ', 'þ') 211
('c', 'w', 'æ', 'ð') 211
(' ', ' ', 'n', 'æ') 211
('n', ' ', 's', 'e') 211
('e', 's', 't', 'a') 211
('n', 'u', ' ', ' ') 211
('h', 'a', 'n', 'd') 211
('n', 'i', 'g', 'e') 210
('æ', 'l', 'e', 'ð') 210
('l', 'i', 'g', 'e') 210
('æ', 'ð', ' ', ' ') 210
(' ', 'w', 'y', 'n') 210
('s', 'a', 'w', 'l') 209
('p', 'e', ' ', ' ') 209
('i', 'c', ' ', 'o') 209
('s', 'e', 'n', 'd') 208
(' ', 's', 'c', 'i') 208
(' ', 'b', 'u', 'r') 208
('f', 'r', 'e', 'a') 207
('a', 'n', ' ', 't') 207
('s', ' ', 'w', 'i') 207
(' ', ' ', 'w', 'r') 207
('r', 'i', 'n', 'g') 206
('e', 'n', 'g', 'e') 206
